# newdoc
# newpar
# sent_id = 1
1	Jesus	Jesus	NOUN	NNS	Number=Plur	2	nsubj	_	_
2	answered	answer	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	0	root	_	_
3	him	him	PRON	PRP	Case=Acc|Gender=Masc|Number=Sing|Person=3|PronType=Prs	2	obj	_	_
4	,	,	PUNCT	,	_	5	punct	_	_
5	"	"	PUNCT	``	_	2	punct	_	_
6	Because	because	SCONJ	IN	_	8	mark	_	_
7	I	I	PRON	PRP	Case=Nom|Number=Sing|Person=1|PronType=Prs	8	nsubj	_	_
8	said	say	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	13	advcl	_	_
9	to	to	ADP	TO	_	10	case	_	_
10	you	you	PRON	PRP	Case=Nom|Person=2|PronType=Prs	8	obl	_	_
11	,	,	PUNCT	,	_	8	punct	_	_
12	I	I	PRON	PRP	Case=Nom|Number=Sing|Person=1|PronType=Prs	13	nsubj	_	_
13	saw	see	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	2	parataxis	_	_
14	you	you	PRON	PRP	Case=Acc|Person=2|PronType=Prs	13	obj	_	_
15	under	under	ADP	IN	_	18	case	_	_
16	the	the	DET	DT	Definite=Def|PronType=Art	18	det	_	_
17	fig	fig	NOUN	NN	Number=Sing	18	compound	_	_
18	tree	tree	NOUN	NN	Number=Sing	13	obl	_	_
19	,	,	PUNCT	,	_	22	punct	_	_
20	do	do	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin	22	aux	_	_
21	you	you	PRON	PRP	Case=Nom|Person=2|PronType=Prs	22	nsubj	_	_
22	believe	believe	VERB	VB	VerbForm=Inf	13	parataxis	_	_
23	?	?	PUNCT	.	_	2	punct	_	_


